,File,Aleph system no.,Country code,Language code (008),Language code (041),DDC,Personal-author_ORIGINAL,Personal-author_clean,Personal_author_title,Personal_author_years,Personal_author_pseudonym,Corporate author,Title_ORIGINAL,Title_clean,Title_clean_after_By,Title_clean_language_detected,Edition,Imprint_ORIGINAL,Location_clean,Date,Location_intermediate,Series,Subjects,Other personal authors,Other corporate authors,DOM ID,Type,Genre,Column
2132,music.xlsx,14827439,|||,und,,,"PINDER, Thomas.","Pinder, Thomas",,,,,Pinder's Pantomime Song Book. [electronic resource],Pinder's Pantomime Song Book.,,eng,,"Leeds : T. Pinder, [1884.].",Leeds,1884.0,Leeds Pinder,,,,,lsidyv3459bc91,pantomime,Music,
16339,nogenre.xlsx,14831265,|||,eng,,,,,,,,,"Barra Head: a sketch. Addressed to E. E. [Subscribed, Unda, i.e. T. S. Muir.] [electronic resource]",Barra Head: a sketch. Addressed to E. E.,,eng,,"[Edinburgh, 1866]",,1866.0,,,,,,lsidyv2b5b5d43,,,
37835,poetry.xls,14811036,|||,und,,,"FORSTER, Jonathan Langstaff.","Forster, Jonathan Langstaff",,,,,Episodes of Life. In poetry and prose ... Edited by ... H. L. Forster. [With portrait.] [electronic resource],Episodes of Life. In poetry and prose... Edited by... H. L. Forster.,,eng,,"London, 1872.",London,1872.0,London,,,"FORSTER, Henry Langstaff.",,lsidyv306ba49e,poet,Poetry,
31886,nogenre.xlsx,15178473,|||,eng,,,"STYLES, John, D.D.","Styles, John",D.D,,,,The Animal Creation; its claims on our Humanity stated and enforced. [electronic resource],The Animal Creation; its claims on our Humanity stated and enforced.,,eng,,"London, [1839]",London,1839.0,London,,,,,lsidyv2c49b3a5,,,
20999,nogenre.xlsx,14860723,|||,ita,,,"MACCHIAROLI, Stefano.","Macchiaroli, Stefano",,,,,Diano e l'omonima sua valle. Ricerche storico-archeologiche. [electronic resource],Diano e l'omonima sua valle. Ricerche storico-archeologiche.,,ita,,"Napoli, 1868.",Napoli,1868.0,Napoli,,,,,lsidyv3638d377,,,
2143,music.xlsx,14602922,|||,und,,,"ROSS, John Wilson.","Ross, John Wilson",,,,,"Fact and Fancy. An ode for the jubilee of the Queen's reign. Also The University Boat Race, a song. [electronic resource]","Fact and Fancy. An ode for the jubilee of the Queen's reign. Also The University Boat Race, a song.",,eng,,"London : Diprose & Bateman, 1886.",London,1886.0,London Diprose Bateman,,,,,lsidyv2eb1e424,song,Music,
43379,poetry.xls,14827296,|||,und,,,"PETRIE, John, Writer of Verse.","Petrie, John",Writer of Verse,,,,"The Last Hope, and other poems. [electronic resource]","The Last Hope, and other poems.",,eng,,"Edinburgh, Aberdeen [printed], 1853.",Edinburgh,1853.0,Edinburgh Aberdeen,,,,,lsidyv3a981852,poet,Poetry,
4843,nogenre.xlsx,14796292,|||,eng,,,"LATROBE, Christian Ignatius.","Latrobe, Christian Ignatius",,,,,"A concise account of the present state of the Missions ... of the ... United Brethren, among the Heathen. [electronic resource]","A concise account of the present state of the Missions... of the... United Brethren, among the Heathen.",,eng,,"London, 1811.",London,1811.0,London,,,,,lsidyv3c87113d,,,
41454,poetry.xls,14819177,|||,und,,,"MILLER, Hugh, the Younger.","Miller, Hugh, The Younger",,,,,The Dream of Mr. H- the Herbalist. [A scientific romance.] [electronic resource],The Dream of Mr. H- the Herbalist.,,eng,,"Edinburgh & London : Blackwood & Sons, 1896.",Edinburgh,1896.0,Edinburgh London Blackwood Sons,,,,,lsidyv3a1a317a,romance,Prose,
29830,nogenre.xlsx,14912724,|||,ger,,,"WASSALI, Friedrich.","Wassali, Friedrich",,,,,Der Bund zu Vazerol. Ein Beitrag zur Geschichte der drei Rhätischen Bünde. [electronic resource],Der Bund zu Vazerol. Ein Beitrag zur Geschichte der drei Rhätischen Bünde.,,ger,,"Chur, 1882.",Chur,1882.0,Chur,,,,,lsidyv3837869c,,,
45689,poetry.xls,14832681,|||,und,,,"YOLLAND, E.","Yolland, E",,,,,"In Days of Strife. Fragments of fact and fiction from a Refugee's history in France, 1666 to 1685. [electronic resource]","In Days of Strife. Fragments of fact and fiction from a Refugee's history in France, 1666 to 1685.",,eng,,"London : F. V. White & Co., 1896.",London,1896.0,London White,,,,,lsidyv3a1c23b6,ballad,Poetry,
16566,nogenre.xlsx,14831700,|||,eng,,,"WARE, William, Unitarian Minister.","Ware, William, Unitarian Minister",,,,,Julian: or Scenes in Judea. By the Author of Letters from Palmyra and Rome [i.e. W. Ware]. [electronic resource],Julian: or Scenes in Judea.,By the Author of Letters from Palmyra and Rome,eng,,"Edinburgh : William & Robert Chambers, 1843.",Edinburgh,1843.0,Edinburgh William Robert Chambers,,,,,lsidyv3b995089,,,
13747,nogenre.xlsx,14825978,|||,eng,,,"MORRIS, Peter, pseud.","Morris, Peter",,,pseud,,"Peter's Letters to his kinsfolk. [By J. G. Lockhart, assisted by Christopher North.] The second edition. (Postscript to the third edition of Peter's Letters.). [electronic resource]",Peter's Letters to his kinsfolk. The second edition.,,eng,,"Edinburgh : William Blackwood, 1819.",Edinburgh,1819.0,Edinburgh William Blackwood,,,"Lockhart, J. G. (John Gibson), 1794-1854.",,lsidyv3e69db33,,,
