,File,Aleph system no.,Country code,Language code (008),Language code (041),DDC,Personal-author_ORIGINAL,Personal-author_clean,Personal_author_title,Personal_author_years,Personal_author_pseudonym,Corporate author,Title_ORIGINAL,Title_clean,Title_clean_after_By,Title_clean_language_detected,Edition,Imprint_ORIGINAL,Location_clean,Date,Location_intermediate,Series,Subjects,Other personal authors,Other corporate authors,DOM ID,Type,Genre,Column
25900,nogenre.xlsx,14879634,|||,eng,,,"CRAIK, George Lillie.","Craik, George Lillie",,,,,Index ... By H. C. Hamilton. [electronic resource],Index...,By H. C. Hamilton.,eng,,"London : Wm. S. Orr, 1850.",London,1850.0,London Orr,,,"Hamilton, Hans Claude, 1811-1895.",,lsidyv38b18840 -- lsidyv2b1e6082,,,
29228,nogenre.xlsx,14905240,|||,ger,,,"GRAF, Remigius.","Graf, Remigius",,,,,Die Entstehung der Oesterreichischen Monarchie. [electronic resource],Die Entstehung der Oesterreichischen Monarchie.,,ger,,"Klagenfurth, 1852.",Klagenfurt,1852.0,Klagenfurth,,,,,lsidyv382679e4,,,
11809,nogenre.xlsx,14817398,|||,eng,,,,,,,,London Morayshire Club (LONDON),"Annals of the London Morayshire Club, by James Ray and W. C. Grant. [electronic resource]","Annals of the London Morayshire Club, by James Ray and W. C. Grant.",,eng,,"London : C. Skipper & Co., 1894.",London,1894.0,London Skipper,,,"GRANT, W. Calder. -- RAY, James, Secretary of the London Morayshire Club.",,lsidyv3bd88e66,,,
12960,nogenre.xlsx,14823204,|||,und,,,"Norris, W. E. (William Edward), 1847-1925.","Norris, W. E., William Edward",,1847-1925,,,Marcia. [electronic resource],Marcia.,,eng,,"London : J. Murray, 1890.",London,1890.0,London Murray,,,,,lsidyv3b9571a6 -- lsidyv3b956b9d -- lsidyv3b956518,,,
7696,nogenre.xlsx,14808432,|||,eng,,,"CUMING, Edward William Dirom.","Cuming, Edward William Dirom",,,,,In the Shadow of the Pagoda. Sketches of Burmese life and character. [With illustrations.] [electronic resource],In the Shadow of the Pagoda. Sketches of Burmese life and character.,,eng,,"London : W. H. Allen & Co., 1893.",London,1893.0,London Allen,,Burma Social life and customs.,,,lsidyv39034928,,,
32072,nogenre.xlsx,15210923,|||,eng,,,"FLINT, Grover.","Flint, Grover",,,,,Marching with Gomez. A war-correspondent's field note-book kept during four months with the Cuban army ... Illustrated by the author. With an historical introduction by J. Fiske. [electronic resource],Marching with Gomez. A war-correspondent's field note-book kept during four months with the Cuban army... Illustrated by the author. With an historical introduction by J. Fiske.,,eng,,"Boston, U.S.A. : Lamson, Wolffe & Co., 1898.",Boston,1898.0,Boston Lamson Wolffe,,,"Fiske, John, 1842-1901.",,lsidyv2ca1738c,,,
16727,nogenre.xlsx,14832017,|||,eng,,,"WHITE, Diagonal, pseud.","White, Diagonal",,,pseud,,"By Ocean, Firth and Channel; amateur cruising on the West Coast of Scotland and North Coast of Ireland. [electronic resource]",,"By Ocean, Firth and Channel; amateur cruising on the West Coast of Scotland and North Coast of Ireland.",und,,"London : “The Yachtsman” Offices, 1894.",London,1894.0,London “The Yachtsman” Offices,,,,,lsidyv38f64b1d,,,
3423,nogenre.xlsx,14750905,|||,eng,,,"LYNCH, Thomas Kerr.","Lynch, Thomas Kerr",,,,,Constantinople in 1887. Leaves from the diary of T. K. Lynch. Edited by ... H. B. Lynch. [electronic resource],Constantinople in 1887. Leaves from the diary of T. K. Lynch. Edited by... H. B. Lynch.,,eng,,"Printed for private circulation, [1895?]",Printed,1895.0,Printed,,,"LYNCH, Henry Finnis Blosse.",,lsidyv3b990f1c,,,
24995,nogenre.xlsx,14872220,|||,eng,,,"LIOT, W. B.","Liot, W. B",,,,,"Panamà, Nicaragua and Tehuantepec; or, considerations upon the questions of communication between the Atlantic and Pacific Oceans. [electronic resource]","Panamà, Nicaragua and Tehuantepec; or, considerations upon the questions of communication between the Atlantic and Pacific Oceans.",,eng,,"London, 1849.",London,1849.0,London,,,,,lsidyv3736055f,,,
3932,nogenre.xlsx,14767580,|||,eng,,,,,,,,,"An Earnest Appeal to the Lords and Commons in Parliament, at this time assembled, against the destruction of the ancient collegiate church of St. Katharine, by the Tower, by constructing wet docks in that precinct. By a Clergyman. [electronic resource]","An Earnest Appeal to the Lords and Commons in Parliament, at this time assembled, against the destruction of the ancient collegiate church of St. Katharine, by the Tower, by constructing wet docks in that precinct.",By a Clergyman.,eng,,"London : H. Teape, 1825.",London,1825.0,London Teape,,,,,lsidyv3c1bc5b5,,,
12763,nogenre.xlsx,14822879,|||,eng,,,"BEAMONT, William.","Beamont, William",,,,,"An Account of the Rolls of the Honour of Halton, part of Her Majesty the Queen's Duchy of Lancaster, etc. [electronic resource]","An Account of the Rolls of the Honour of Halton, part of Her Majesty the Queen's Duchy of Lancaster, etc.",,eng,,"Warrington : Percival Pearse, 1879.",Warrington,1879.0,Warrington Percival Pearse,,,,,lsidyv3019c21a,,,
8921,nogenre.xlsx,14810803,|||,eng,,,"Fiske, John, 1842-1901.","Fiske, John",,1842-1901,,,[Excursions of an Evolutionist.] [electronic resource],Excursions of an Evolutionist.,,eng,[Another edition.],"London : Macmillan & Co., 1884.",London,1884.0,London Macmillan,,,,,lsidyv3bb14a7d,,,
13432,nogenre.xlsx,14824439,|||,eng,,,"THORNTON, Thomas, Author of “The Present State of Turkey,” etc.","Thornton, Thomas","Author of “The Present State of Turkey,” etc",,,,"The Present State of Turkey ... Together with the geographical, political and civil state of the Principalities of Moldavia and Wallachia. ... The second edition, with ... additions. [electronic resource]","The Present State of Turkey... Together with the geographical, political and civil state of the Principalities of Moldavia and Wallachia.... The second edition, with... additions.",,eng,,"London, 1809.",London,1809.0,London,,,,,lsidyv3b9f99f5 -- lsidyv3b9f8393,,,
23633,nogenre.xlsx,14867453,|||,ger,,,"PRUSIK, Edmund.","Prusik, Edmund",,,,,"Die Gemeinde Iglau und ihr Wirken in den Jahren 1865-1889. Eine Denkschrift, etc. [electronic resource]","Die Gemeinde Iglau und ihr Wirken in den Jahren 1865-1889. Eine Denkschrift, etc.",,ger,,"Iglau, 1890.",Iglau,1890.0,Iglau,,,,,lsidyv36824b5f,,,
7703,nogenre.xlsx,14808439,|||,eng,,,"CUMMING, Constance Frederica Gordon.","Cumming, Constance Frederica Gordon",,,,,"Via Cornwall to Egypt, etc. [electronic resource]","Via Cornwall to Egypt, etc.",,eng,,"London : Chatto & Windus, 1885.",London,1885.0,London Chatto Windus,,,,,lsidyv3c8f9c06,,,
47293,poetry.xls,14872838,|||,eng,,,"SIBORNE, William.","Siborne, William",,,,,"[History of the War in France and Belgium, 1815; containing minute details of the battles of Quatre-Bras, Ligny, Wavre, and Waterloo.] [electronic resource]","History of the War in France and Belgium, 1815; containing minute details of the battles of Quatre-Bras, Ligny, Wavre, and Waterloo.",,eng,Third and revised edition. With remarks upon the Rev. G. R. Gleig's “Story of Waterloo.'.,"London, 1848.",London,1848.0,London,,,"Gleig, G. R. (George Robert), 1796-1888.",,lsidyv375430ce,story,Prose,
33739,poetry.xls,14616768,|||,und,,,"HARRIS, A. C. Campbell.","Harris, A. C. Campbell",,,,,"Some Youthful Ink, etc. [Verses.] [electronic resource]","Some Youthful Ink, etc.",,eng,,"[London, 1890.]",,1890.0,,,,,,lsidyv3472f686,verse,Poetry,
15266,nogenre.xlsx,14829124,|||,und,,,"Scott, Walter, Sir, 1771-1832","Scott, Walter",Sir,1771-1832,,,[The Lady of the Lake ... The fifth edition.] [electronic resource],The Lady of the Lake... The fifth edition.,,eng,Eighth edition. (With engravings from the designs of R. Westall.).,"Edinburgh [printed] and London, 1810.",Edinburgh,1810.0,Edinburgh London,,,"WESTALL, Richard.",,lsidyv2ebc7b60,,,
21904,nogenre.xlsx,14861741,|||,ger,,,"GRUBE, August Wilhelm.","Grube, August Wilhelm",,,,,Alpenwanderungen. Fahrten auf hohe und höchste Alpenspitzen ... Mit zahlreichen Illustrationen in Tonund Farbendruck. [electronic resource],Alpenwanderungen. Fahrten auf hohe und höchste Alpenspitzen... Mit zahlreichen Illustrationen in Tonund Farbendruck.,,ger,,"Leipzig, 1874.",Leipzig,1874.0,Leipzig,,,,,lsidyv366a12fc,,,
17700,nogenre.xlsx,14839862,|||,fre,,,"DUVEYRIER, Henri.","Duveyrier, Henri",,,,,"La Confrérie musulmane de Sîdi Mohammed Ben 'Alf Es-Senoûsî et son domaine géographique, etc. [With a map.] [electronic resource]","La Confrérie musulmane de Sîdi Mohammed Ben 'Alf Es-Senoûsî et son domaine géographique, etc.",,fre,,"Paris, 1884.",Paris,1884.0,Paris,,,,,lsidyv35b8a784,,,
24997,nogenre.xlsx,14872222,|||,eng,,,,,,,,,"Litchfield County centennial celebration, held ... 13th an 14th of August, 1851. [electronic resource]","Litchfield County centennial celebration, held... 13th an 14th of August, 1851.",,eng,,"Hertford, 1851.",Hartford,1851.0,Hertford,,,,,lsidyv36cd0a6b,,,
22921,nogenre.xlsx,14866650,|||,dut,,,"DYKSTRA, Waling.","Dykstra, Waling",,,,,"Uit Frieslands volksleven van vroeger en later. Volksoverleveringen, volksgebrunken, volksvertellingen, volksbegrippen. Bijeengebracht door Waling Dykstra. [With a preface by Hugo Suringar.] [electronic resource]","Uit Frieslands volksleven van vroeger en later. Volksoverleveringen, volksgebrunken, volksvertellingen, volksbegrippen. Bijeengebracht door Waling Dykstra.",,dut,,"Leeuwarden, 1892, 96.",Leeuwarden,1892.0,Leeuwarden,,,"SURINGAR, Hugo.",,lsidyv3de1e35c,,,
6926,nogenre.xlsx,14807055,|||,und,,,"CHALCRAFT, Harriette Amiel.","Chalcraft, Harriette Amiel",,,,,Lucy Aylmer. By the author of “The curate of Overton” [i.e. H. A. Chalcraft]. [electronic resource],Lucy Aylmer.,By the author of “The curate of Overton”,eng,,"Richard Bentley : London, 1857.",London,1857.0,Richard Bentley London,,,,,lsidyv3acbc2ba,,,
38268,poetry.xls,14811995,|||,und,,,"GRANHIM, Caradoc.","Granhim, Caradoc",,,,,"Life's Tapestry; or, Homes and Hearths. Fitzthorpe. [A novel.] [electronic resource]","Life's Tapestry; or, Homes and Hearths. Fitzthorpe.",,eng,,"London : Ward & Downey, 1893.",London,1893.0,London Ward Downey,,,,,lsidyv3b40b81f -- lsidyv3b40c5af -- lsidyv3b40cad4,novel,Prose,
19788,nogenre.xlsx,14847553,|||,fre,,,"LECLERCQ, Jules, Traveller.","Leclercq, Jules",Traveller,,,,Au pays de Paul et Virginie. Ouvrage accompagné de gravures et d'une carte. [electronic resource],Au pays de Paul et Virginie. Ouvrage accompagné de gravures et d'une carte.,,fre,,"Paris, 1895.",Paris,1895.0,Paris,,,,,lsidyv35bf04f8,,,
2891,nogenre.xlsx,14616872,|||,und,,,,,,,,,"The London Medley: containing exercises Spoken ... at the annual meeting of the Westminster Scholars ... Jan. 1730-1, etc. [electronic resource]","The London Medley: containing exercises Spoken... at the annual meeting of the Westminster Scholars... Jan. 1730-1, etc.",,eng,,"London, [1731.]",London,1731.0,London,,,,,lsidyv3512af74,,,
33226,poetry.xls,14608388,|||,und,,,,,,,,,"Poems, by Viator. [i.e. Thomas D'Oyly.] [electronic resource]","Poems, by Viator.",,eng,,"London, 1843.",London,1843.0,London,,,,,lsidyv334fe9b6,poet,Poetry,
18122,nogenre.xlsx,14840389,|||,hun,,,"JANCSOVICS, István.","Jancsovics, István",,,,,Kirándulás Istambolba az 1863-dik év April havában. [With engravings.] [electronic resource],Kirándulás Istambolba az 1863-dik év April havában.,,hun,,"Pest, 1864.",Pest,1864.0,Pest,,,,,lsidyv35943685,,,
23047,nogenre.xlsx,14866786,|||,eng,,,"GILBERT, Frank, Assistant-Treasurer U.S. at Chicago.","Gilbert, Frank",Assistant-Treasurer U.S. at Chicago,,,,"The World: historical and actual. What has been and what is ... Together with ... charts, reference tables ... from B.C. 1500, to the present time. Numerous ... illustrations. [electronic resource]","The World: historical and actual. What has been and what is... Together with... charts, reference tables... from B.C. 1500, to the present time. Numerous... illustrations.",,eng,,"St. Louis, Mo., 1882.",Louis,1882.0,Louis,,,,,lsidyv367c081c,,,
