,File,Aleph system no.,Country code,Language code (008),Language code (041),DDC,Personal-author_ORIGINAL,Personal-author_clean,Personal_author_title,Personal_author_years,Personal_author_pseudonym,Corporate author,Title_ORIGINAL,Title_clean,Title_clean_after_By,Title_clean_language_detected,Edition,Imprint_ORIGINAL,Location_clean,Date,Location_intermediate,Series,Subjects,Other personal authors,Other corporate authors,DOM ID,Type,Genre,Column
4128,nogenre.xlsx,14767817,|||,eng,,,,,,,,Hull and East Riding Institution for the Promotion of the Fine Arts (HULL),The Second Exhibition of the ... Institution ... 1829. [A Catalogue.] [electronic resource],The Second Exhibition of the... Institution... 1829.,,eng,,"Hull : T. Topping, [1829]",Hull,1829.0,Hull Topping,,,,,lsidyv3c198133,,,
5504,nogenre.xlsx,14804573,|||,und,,,"BANCROFT, William.","Bancroft, William",,,,,Lays of a Salt Town. [electronic resource],Lays of a Salt Town.,,eng,,"pp. 158. Simpkin & Marshall: London, 1894.",London,1894.0,Simpkin Marshall London,,,,,lsidyv3476e1eb,,,
16355,nogenre.xlsx,14831285,|||,eng,,,,,,,,United States.,"Hints to Emigrants, addressed chiefly to persons contemplating an emigration to the United States of America, with copious extracts from the journal of T. Hulme, Esq., written during a tour through several of the principal cities and manufacturing districts of those States, in the summer and autumn of 1816. [electronic resource]","Hints to Emigrants, addressed chiefly to persons contemplating an emigration to the United States of America, with copious extracts from the journal of T. Hulme, Esq., written during a tour through several of the principal cities and manufacturing districts of those States, in the summer and autumn of 1816.",,eng,,"Liverpool : W. Bethell, 1817.",Liverpool,1817.0,Liverpool Bethell,,,"HULME, Thomas.",,lsidyv3cb3c233,,,
31787,nogenre.xlsx,15178355,|||,spa,,,"P., A. D. de.","P., A. D. De",,,,,Apuntes para la historia de la República Oriental del Uruguay desde el año de 1810 hasta el de 1852(-1859). ... Por A. D. de P. [electronic resource],Apuntes para la historia de la República Oriental del Uruguay desde el año de 1810 hasta el de 1852... Por A. D. de P.,,spa,,"Paris, 1864, 65.",Paris,1864.0,Paris,,,,,lsidyv2b07711f,,,
24621,nogenre.xlsx,14871754,|||,eng,,,"Froissart, Jean, 1338?-1410?","Froissart, Jean",,1338?-1410?,,,"The Boy's Froissart, being [selections from] Sir J. Froissart's Chronicles ... Edited ... with an introduction, by S. Lanier. Illustrated, etc. [electronic resource]","The Boy's Froissart, being Sir J. Froissart's Chronicles... Edited... with an introduction, by S. Lanier. Illustrated, etc.",,eng,,"London : Sampson Low & Co., [1880]",London,1880.0,London Sampson Low,,,"LANIER, Sidney Clopton.",,lsidyv3752cbec,,,
22845,nogenre.xlsx,14866560,|||,ita,,,"CRATEY, Antonio.","Cratey, Antonio",,,,,"Perigrafia dell'origine dei nomi imposti alle androne, contrade e piazze di Trieste che servir può d'aggiunta alla cronica del P. Ireneo della Croce pubblicata nell'anno 1808. [electronic resource]","Perigrafia dell'origine dei nomi imposti alle androne, contrade e piazze di Trieste che servir può d'aggiunta alla cronica del P. Ireneo della Croce pubblicata nell'anno 1808.",,ita,,"Trieste, [1808]",Trieste,1808.0,Trieste,,,,,lsidyv3680386a,,,
26612,nogenre.xlsx,14885104,|||,fre,,,"BERRIAT-SAINT-PRIX, Charles.","Berriat-saint-prix, Charles",,,,,"La Justice révolutionnaire, août 1792-prairial an III, d'après des documents originaux la plupart inédits ... Deuxième édition. tom. 1. [electronic resource]","La Justice révolutionnaire, août 1792-prairial an III, d'après des documents originaux la plupart inédits... Deuxième édition. tom. 1.",,fre,,"Paris, 1870.",Paris,1870.0,Paris,,,,,lsidyv37770f31,,,
21203,nogenre.xlsx,14860950,|||,fre,,,"REY, William.","Rey, William",,,,,Les Grisons et la haute Engadine. [electronic resource],Les Grisons et la haute Engadine.,,fre,,"Genève, 1850.",Genève,1850.0,Genève,,,,,lsidyv362554fe,,,
42756,poetry.xls,14825818,|||,und,,,"MONTGOMERY, Robert, Author of “Satan.”.","Montgomery, Robert",Author of “Satan.”,,,,[The Omnipresence of the Deity. A poem. [With other poems.]] [electronic resource],The Omnipresence of the Deity. A poem.,,eng,Third edition.,"London, 1828.",London,1828.0,London,,,,,lsidyv32b968c2,poet,Poetry,
147,drama.xlsx,14811481,|||,und,,,"GAY, John, the Poet.","Gay, John",the Poet,,,,[The distress'd wife. A comedy.] [electronic resource],The distress'd wife. A comedy.,,eng,The second edition.,"T. Astley : London, 1750.",Astley,1750.0,Astley London,,,,,lsidyv314bd9c1,comedy,Drama,
9790,nogenre.xlsx,14812583,|||,eng,,,"HALY, George Thomas.","Haly, George Thomas",,,,,Kháná (Khānā) A Handbook on the resources of India. Revised edition. [electronic resource],Kháná A Handbook on the resources of India. Revised edition.,,eng,,"London, [1872]",London,1872.0,London,,Agriculture India.,,,lsidyv39086c0c,,,
