,File,Aleph system no.,Country code,Language code (008),Language code (041),DDC,Personal-author_ORIGINAL,Personal-author_clean,Personal_author_title,Personal_author_years,Personal_author_pseudonym,Corporate author,Title_ORIGINAL,Title_clean,Title_clean_after_By,Title_clean_language_detected,Edition,Imprint_ORIGINAL,Location_clean,Date,Location_intermediate,Series,Subjects,Other personal authors,Other corporate authors,DOM ID,Type,Genre,Column
6055,nogenre.xlsx,14805569,|||,eng,,,"BODLEY, John Edward Courtenay.","Bodley, John Edward Courtenay",,,,,France. [electronic resource],France.,,eng,,"London : Macmillan & Co., 1898.",London,1898.0,London Macmillan,,,,,lsidyv3bfe6802 -- lsidyv3bfec26b,,,
22380,nogenre.xlsx,14862262,|||,fre,,,"RICHARD, Jules François.","Richard, Jules François",,,,,"Histoire du département des Deux-Sèvres sous la Constituante, la Législative, la Convention, le Directoire, etc. [electronic resource]","Histoire du département des Deux-Sèvres sous la Constituante, la Législative, la Convention, le Directoire, etc.",,fre,,"Niort, [1863]",Niort,1863.0,Niort,,,,,lsidyv36659bfc,,,
36004,poetry.xls,14806239,|||,und,,,"Buchanan, Robert Williams, 1841-1901.","Buchanan, Robert Williams",,1841-1901,,,Foxglove Manor. A novel. [electronic resource],Foxglove Manor. A novel.,,eng,,"London : Chatto & Windus, 1884.",London,1884.0,London Chatto Windus,,,,,lsidyv3b21e9f3 -- lsidyv3b2c5d13 -- lsidyv3b21f074,novel,Prose,
48466,poetry.xls,14939694,|||,und,,,,,,,,Cotton Brokers (LIVERPOOL),"The Liverpool Cotton Brokers' Alphabet, or nursery rhymes for the boys on the flags ... with cotton warehousemen and the forty (240) thieves. [electronic resource]","The Liverpool Cotton Brokers' Alphabet, or nursery rhymes for the boys on the flags... with cotton warehousemen and the forty thieves.",,eng,,"Liverpool : “Leader” Office, 1873.",Liverpool,1873.0,Liverpool “Leader” Office,,,,,lsidyv3865a8dc,rhyme,Poetry,
35450,poetry.xls,14804776,|||,und,,,"Barton, Bernard, 1784-1849.","Barton, Bernard",,1784-1849,,,"Napoleon, and other poems. [electronic resource]","Napoleon, and other poems.",,eng,,"London : Thomas Boys, 1822.",London,1822.0,London Thomas Boys,,,,,lsidyv3391d690,poet,Poetry,
4035,nogenre.xlsx,14767706,|||,eng,,,"GASCOYNE, Somers Thomas.","Gascoyne, Somers Thomas",,,,,"Recollections of Richmond, its institutions and their development. [With illustrations.] [electronic resource]","Recollections of Richmond, its institutions and their development.",,eng,,"Richmond, Surrey : F. W. Dimbleby, [1898]",Richmond,1898.0,Richmond Surrey Dimbleby,,,,,lsidyv3c435910,,,
26738,nogenre.xlsx,14885261,|||,ger,,,"EBELING, Friedrich Wilhelm.","Ebeling, Friedrich Wilhelm",,,,,"[Sieben Bücher französischer Geschichte nach gedruckten und handschriftlichen, theilweise unbenutzten Quellen.] [electronic resource]","Sieben Bücher französischer Geschichte nach gedruckten und handschriftlichen, theilweise unbenutzten Quellen.",,ger,"Zweite, ... vermehrte Auflage.","Leipzig, 1869.",Leipzig,1869.0,Leipzig,,,,,lsidyv3772f836,,,
48322,poetry.xls,14939428,|||,und,,,"COPPIN, John Wylkyns.","Coppin, John Wylkyns",,,,,"Ode on the Marriage of H.R.H. the Prince of Wales ... Being the poem to which the first special prize was awarded in the University of Dublin, June, 1863. [electronic resource]","Ode on the Marriage of H.R.H. the Prince of Wales... Being the poem to which the first special prize was awarded in the University of Dublin, June, 1863.",,eng,,"Dublin : Hodges, Smith & Co., 1863.",Dublin,1863.0,Dublin Hodges Smith,,,,,lsidyv3865a539,ode,Poetry,
47335,poetry.xls,14873030,|||,fre,,,,,,,,,"Relation du voyage des dames Religieuses Ursulines de Rouen à la Nouvelle-Orléans; avec une introduction et des notes par G. Gravier. [A reprint, in facsimile, of the edition of 1728.] [electronic resource]",Relation du voyage des dames Religieuses Ursulines de Rouen à la Nouvelle-Orléans; avec une introduction et des notes par G. Gravier.,,fre,,"Paris, 1872.",Paris,1872.0,Paris,,,"Gravier, Gabriel.",,lsidyv3726248f,lines,Poetry,
5361,nogenre.xlsx,14804314,|||,eng,,,"AULDJO, John.","Auldjo, John",,,,,"Journal of a Visit to Constantinople, and some of the Greek Islands, in the spring and summer of 1833. [With plates, etched by George Cruikshank.] [electronic resource]","Journal of a Visit to Constantinople, and some of the Greek Islands, in the spring and summer of 1833.",,eng,,"London : Longman & Co., 1835.",London,1835.0,London Longman,,,"Cruikshank, George, 1792-1878.",,lsidyv3bb8593c,,,
